season,wkday,date,hr,holiday,temp,windspd,hum,adjtemp,condition,casual,member,total
3,4,2016-07-01,0,1,0.6743,0.1207,0.4,0.6364,1,35,90,125
3,4,2016-07-01,1,1,0.6576,0.1724,0.42,0.6241,1,34,60,94
3,4,2016-07-01,2,1,0.6326,0.0862,0.46,0.6067,1,39,55,94
3,4,2016-07-01,3,1,0.6242,0.0345,0.48,0.6016,1,21,38,59
3,4,2016-07-01,4,1,0.6388,0.0345,0.46,0.6124,1,23,33,56
3,4,2016-07-01,5,1,0.6388,0.069,0.48,0.6164,1,13,13,26
3,4,2016-07-01,6,1,0.6451,0.1207,0.49,0.6241,1,9,9,18
3,4,2016-07-01,7,1,0.6514,0.1379,0.64,0.6586,2,2,4,6
3,4,2016-07-01,8,1,0.6284,0.2069,0.83,0.6656,3,1,5,6
3,4,2016-07-01,9,1,0.6138,0.2414,0.85,0.6521,3,2,3,5
3,4,2016-07-01,10,1,0.643,0.1552,0.78,0.6746,1,4,8,12
3,4,2016-07-01,11,1,0.6827,0.3103,0.68,0.7011,1,5,24,29
3,4,2016-07-01,12,1,0.6889,0.3966,0.71,0.7151,1,9,23,32
3,4,2016-07-01,13,1,0.6555,0.2241,0.92,0.7151,4,5,11,16
3,4,2016-07-01,14,1,0.7119,0.7069,0.58,0.7131,4,12,11,23
3,4,2016-07-01,15,1,0.7411,0.6724,0.47,0.7202,4,27,42,69
3,4,2016-07-01,16,1,0.7182,0.6724,0.51,0.7048,1,38,47,85
3,4,2016-07-01,17,1,0.6868,0.6897,0.56,0.6817,1,47,46,93
3,4,2016-07-01,18,1,0.6785,0.6724,0.61,0.6826,1,24,23,47
3,4,2016-07-01,19,1,0.6493,0.5517,0.65,0.6578,1,80,51,131
3,4,2016-07-01,20,1,0.6242,0.6379,0.65,0.6301,1,51,56,107
3,4,2016-07-01,21,1,0.5992,0.4655,0.69,0.6101,1,94,47,141
3,4,2016-07-01,22,1,0.5908,0.5,0.72,0.6054,1,95,69,164
3,4,2016-07-01,23,1,0.5741,0.3966,0.72,0.588,1,60,57,117
